Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
349;DR2-MTMR0-SX43;Copy machine;0;0.64;0.731;0.354;0.473;1.087;1.2
350;DR2-MWEW0-SA1;Metro;-4;0.697;0.722;0.376;0.474;1.034;1.103
351;DR2-MWEW0-SA2;Speech-shaped noise;4;0.778;0.834;0.514;0.651;1.142;1.549
352;DR2-MWEW0-SI1361;Copy machine;-6;0.467;0.535;0.187;0.228;1.026;1.063
353;DR2-MWEW0-SI1991;Traffic;-2;0.777;0.852;0.472;0.61;1.024;1.433
354;DR2-MWEW0-SI731;Copy machine;-2;0.616;0.71;0.377;0.446;1.055;1.162
355;DR2-MWEW0-SX101;Town square;-4;0.839;0.889;0.563;0.716;1.024;1.9
356;DR2-MWEW0-SX11;Subway station;-6;0.588;0.643;0.408;0.414;1.023;1.279
357;DR2-MWEW0-SX191;Sports Field;-8;0.728;0.837;0.475;0.633;1.022;1.481
358;DR2-MWEW0-SX281;Copy machine;-2;0.565;0.639;0.193;0.237;1.056;1.076
359;DR2-MWEW0-SX371;Bus;2;0.945;0.963;0.772;0.856;1.255;2.57
360;DR2-MWVW0-SA1;Cafeteria;4;0.752;0.803;0.56;0.656;1.092;1.514
361;DR2-MWVW0-SA2;Speech-shaped noise;-6;0.479;0.598;0.236;0.317;1.062;1.202
362;DR2-MWVW0-SI1476;Sports Field;2;0.906;0.93;0.716;0.835;1.05;1.637
363;DR2-MWVW0-SI2106;Speech-shaped noise;4;0.712;0.804;0.464;0.593;1.137;1.508
364;DR2-MWVW0-SI846;Town square;2;0.9;0.922;0.746;0.838;1.069;1.86
365;DR2-MWVW0-SX126;Speech-shaped noise;-2;0.698;0.799;0.414;0.571;1.048;1.225
366;DR2-MWVW0-SX216;Cafeteria;-8;0.342;0.384;0.09;0.135;1.035;1.068
367;DR2-MWVW0-SX306;Speech-shaped noise;0;0.694;0.778;0.465;0.533;1.081;1.318
368;DR2-MWVW0-SX36;City park;-2;0.767;0.835;0.494;0.596;1.03;1.345
